Sentence,Sentiment,Cleaned_Sentence,Is_Augmented,Technique
"@united diverged to Burlington, Vermont. This sucks.",negative,diverged to burlington vermont this sucks,False,original
many trips coming up i will see you soon grinningfacewithbigeyes,positive,many tripper coming up i will see you soon grinningfacewithbigeyes,True,synonym_replacement
@USAirways @AmericanAir no one appreciates the sass of the gate agent at Gate C38 at LGA flight US626. Irritated customers,negative,no one appreciates the sass of the gate agent at gate c38 at lga flight us626 irritated customers,False,original
@AmericanAir how have you not loaded our luggage on the plane and were OVER an hour delayed? #Flight293,negative,how have you not loaded our luggage on the plane and were over an hour delayed flight293,False,original
@USAirways trying to book award travel leaving on red-eye Sunday night after midnight. Should I book the date in Sunday or Monday?,neutral,trying to book award travel leaving on redeye sunday night after midnight should i book the date in sunday or monday,False,original
just realized my advantage number wasnt used for my flight how do i get my ff miles,neutral,just realized my reward number wasnt used for my flight how do i get my ff miles,True,synonym_replacement
2 hours to be answered on a call,neutral,2 hours to be in on a call,True,bert_paraphrasing
great job celebrating mardigras2015 you own the industry another reason im nuts for you,positive,great when celebrating luck you own the industry another reason im nuts for you,True,bert_paraphrasing
great will do once i land in jfk,positive,great will do once i land in indium jfk,True,random_insertion
@united every time I check a bag with your airline I'm confident I will be wearing the same clothes for 3 days.  Please prove me wrong.,negative,every time i check a bag with your airline im confident i will be wearing the same clothes for 3 days please prove me wrong,False,original
"@SouthwestAir sure,I'll send a message now!",neutral,sureill send a message now,False,original
@JetBlue word thanks,positive,word thanks,False,original
@JetBlue Airways Hits New 12-Month High at $17.58 (JBLU) - WKRB News http://t.co/XvBjCzlMDA,neutral,airways hits new 12month high at 1758 jblu wkrb news,False,original
@SouthwestAir we're pulling off the runway now! Making new friends with seat mates. Thanks for the response CB.,positive,were pulling off the runway now making new friends with seat mates thanks for the response cb,False,original
@united they did on a delta flight out of LAX which is why I should be compensated for my rental car there.,negative,they did on a delta flight out of lax which is why i should be compensated for my rental car there,False,original
@USAirways looking forward to waiting on hold for 9 hrs to reschedule my flight.  Bunch of idiots work for this airline.,negative,looking forward to waiting on hold for 9 hrs to reschedule my flight bunch of idiots work for this airline,False,original
luv your new luv television commercials traveled on your airline last year return trip from nycfeltthelove,positive,luv your new luv television commercials traveled on your visit last year return back from nycfeltthelove,True,bert_paraphrasing
still there i was posted up in downtown waiting for yall on my way,neutral,still there i was posted up in town waiting for me on my way,True,bert_paraphrasing
it was booked through work but added upgrade on seat need the upgrade receipt,positive,it was booked through work but added upgrade on seat pauperization the upgrade receipt,True,synonym_replacement
@JetBlue Thank you. Fingers crossed.,positive,thank you fingers crossed,False,original
may start service to hawaii from sanfrancisco this year biztravel,neutral,may start service to hawaii from june this year biztravel,True,bert_paraphrasing
thank you finally got our bag customer services reps were wonderful,positive,thank you finally got our bag customer services reps were marvellous,True,synonym_replacement
alright someone has to stop this rt our fleets on fleek,neutral,alright soul someone has to stop this rt our fleets on fleek,True,random_insertion
my email is my twitter handle followed by gmail smilingface thumbsup thumbsup,positive,my email is my twitter handle powered by gmail smilingface thumbsup thumbsup,True,bert_paraphrasing
@AmericanAir yeah and what are they gunna? Nothing your whole organization is a joke,negative,yeah and what are they gunna nothing your whole organization is a joke,False,original
"@AmericanAir not only did you Cancelled Flight our flight from JFK and delay us by 29 hours, you've now lost 2 of our bags. Worst airline ever.",negative,not only did you cancelled flight our flight from jfk and delay us by 29 hours youve now lost 2 of our bags worst airline ever,False,original
@AmericanAir I like the call back system. But thought you'd like to know it's not working well. I received three calls but there's no audio.,negative,i like the call back system but thought youd like to know its not working well i received three calls but theres no audio,False,original
redcarpet southwest companion pass would be great,positive,redcarpet southwest companion notch would be great,True,synonym_replacement
yes thx at 1035 landed at 920,positive,left thx at 1035 landed at 920,True,bert_paraphrasing
thank you finally got our bag customer services reps were wonderful,positive,thank you finally got our bag customer our reps were wonderful,True,bert_paraphrasing
@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS,negative,im trying to check into my 1050am ct flight tmm on the desktop website and its not working some sort of caching bug sos,False,original
@USAirways it's not often that an airline is so easy to work with. I needed to change my flight time and the attendants at MKE made my day!,positive,its not often that an airline is so easy to work with i needed to change my flight time and the attendants at mke made my day,False,original
sureill send a message now,neutral,sureill send a message straight off now,True,random_insertion
thats ok thanks for letting me know appreciate all the responses,positive,thats ok thanks for letting me know value all the responses,True,synonym_replacement
thats a great fa right there,positive,thats a great with child fa right there,True,random_insertion
awesome customer service on 390 from rdu they snuck my wife a warm cookie thx,positive,awesome customer service on 390 from rdu they snuck my wife a gift from thx,True,bert_paraphrasing
"@JetBlue thx, social media person!",positive,thx social media person,False,original
hmmmseems like this could be something to be changed to be more flyerfriendly,positive,hmmmseems like this could be something to be or to be more flyerfriendly,True,bert_paraphrasing
"@SouthwestAir very frustrated with your customer service.Open seats on earlier flight, $154 to change. What a rip off!!",negative,very frustrated with your customer serviceopen seats on earlier flight 154 to change what a rip off,False,original
chances of flight leaving bna tomorrow at 620 am to lga,neutral,chances of flight leaving bna tomorrow at 9 am to lga,True,bert_paraphrasing
thanks for the reminder its been a fun ride,positive,thanks for the reminder its been a fun day,True,bert_paraphrasing
cool are there stairs at jfk i can walk short distances but not stairs,positive,cool are there stairs at jfk i can fly short distances but not stairs,True,bert_paraphrasing
is z and d code airfare refundable,neutral,is omega and d code airfare refundable,True,synonym_replacement
@AmericanAir are flights from Columbus Ohio to Dallas Texas Cancelled Flighted?,neutral,are flights from columbus ohio to dallas texas cancelled flighted,False,original
@USAirways Plus a US Airways - you need to do something about this! I left Philly to thaw out!!!! http://t.co/pKy7ZhnNRH,negative,plus a us airways you need to do something about this i left philly to thaw out,False,original
@AmericanAir can you help me update a birthday that was incorrectly input in a reservation? This is preventing me from checking in,neutral,can you help me update a birthday that was incorrectly input in a reservation this is preventing me from checking in,False,original
with 3 kids and 11 days 340 doesnt work and its months in advance,neutral,with triplet kids and 11 days 340 doesnt work and its months in advance,True,synonym_replacement
@AmericanAir I bet they do! I'm sure they have some form of wear and tear on their skin. I hope they will survive the rest of the winter xxx,neutral,i bet they do im sure they have some form of wear and tear on their skin i hope they will survive the rest of the winter xxx,False,original
"@USAirways comin in clutch and sending me to Charlotte then home, I h8 u @AmericanAir, except for Wayne u a real g #ThankJesus #ThankMe",negative,comin in clutch and sending me to charlotte then home i h8 u except for wayne u a real g thankjesus thankme,False,original
if business class if full but 1st class empty do you guys upgrade exp members to 1st,neutral,if business class if full but 1st class why do you guys upgrade exp members to 1st,True,bert_paraphrasing
@USAirways thank you! I will be calling you! #CheapOairChat,positive,thank you i will be calling you cheapoairchat,False,original
@JetBlue Airways Reveals 'Bluemanity' Livery - TravelPulse http://t.co/fTTfyFMvCO,positive,airways reveals bluemanity livery travelpulse,False,original
just played the most bizarre safety video ive ever seen,neutral,just got the most bizarre safety video ive ever seen,True,bert_paraphrasing
what is the baggage allowance on flights from glasgow to the us thanks,neutral,what is the baggage fare on flights from glasgow to the us thanks,True,bert_paraphrasing
how do i get a companion pass,neutral,how do i induce a companion pass,True,synonym_replacement
@USAirways you guys lost my luggage,negative,you guys lost my luggage,False,original
here you go your napkins pretty much say it all,positive,here you go your napkins pretty much do it all,True,bert_paraphrasing
thanks for the reminder its been a fun ride,positive,thanks for the bait reminder its been a fun ride,True,random_insertion
@SouthwestAir @SouthwestOliver that's a great FA right there.,positive,thats a great fa right there,False,original
@united I'll be sending/posting complete details of the circumstances surrounding this matter.  United airlines should be ashamed.,negative,ill be sendingposting complete details of the circumstances surrounding this matter united airlines should be ashamed,False,original
@AmericanAir any delays on tonight's flight from DFW to SAT? I have family members on board.,neutral,any delays on tonights flight from dfw to sat i have family members on board,False,original
can you follow back for a quick dm swfollowed,neutral,can you follow back for a quick ride swfollowed,True,bert_paraphrasing
flight 117 proud to fly jet blue,positive,jet 117 proud to fly jet blue,True,bert_paraphrasing
thanks i finally got through this afternoon,positive,thanks i finally came through this afternoon,True,bert_paraphrasing
"@AmericanAir need assistance. very frustrated I can't reach reservations by phone. trying to book online &amp; get ""fare no longer avail"" msg",negative,need assistance very frustrated i cant reach reservations by phone trying to book online amp get fare no longer avail msg,False,original
got my bags this morning thanks,positive,got grow my bags this morning thanks,True,random_insertion
i mean probably inappropriate while on board but its on,positive,i mean probably no while on board but its on,True,bert_paraphrasing
@SouthwestAir ugh kicking myself for missing out on #destinationdragons. I need some @Imaginedragons back in my life  http://t.co/sbEhi46bMk,neutral,ugh kicking myself for missing out on destinationdragons i need some back in my life,False,original
how do i go on the scavenger hunt if im in boston,neutral,how do i run short on the scavenger hunt if im in boston,True,synonym_replacement
another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them,positive,another perfect flight how come on your planes the sun visors can stay down other toter make you raise them,True,synonym_replacement
no problem he was the only person in the airport who would help,positive,no problem aerodrome he was the only person in the airport who would help,True,random_insertion
"@AmericanAir Oh, and losing my luggage #ridiculous # angrybird # where'smybag",negative,oh and losing my luggage ridiculous angrybird wheresmybag,False,original
@united you really need a better system for handling Cancelled Flightled flights http://t.co/3uBCoAsyws,negative,you really need a better system for handling cancelled flightled flights,False,original
thats a great fa right there,positive,thats a good fa right there,True,bert_paraphrasing
"“@JetBlue: Our fleet's on fleek. http://t.co/g97HAbyeP5”

SMH",neutral,our fleets on fleek smh,False,original
listen im not gonna deny this but rt our fleets on fleek,neutral,and im not gonna deny this but rt our fleets on fleek,True,bert_paraphrasing
another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them,positive,another perfect flight how come on your planes the aircraft visors can stay down other do make you sun them,True,bert_paraphrasing
@united you friend's flt from ase to Denver is Cancelled Flightled for tomorrow.  Can you help with rebook?,neutral,you friends flt from ase to denver is cancelled flightled for tomorrow can you help with rebook,False,original
"@AmericanAir Understood. Integration takes time, but no excuse for poor customer service",negative,understood integration takes time but no excuse for poor customer service,False,original
@JetBlue my email is my twitter handle followed by gmail ☺👍👍,positive,my email is my twitter handle followed by gmail smilingface thumbsup thumbsup,False,original
"@AmericanAir Thank you, you too!",positive,thank you you too,False,original
please lower my plane flight by like 100 bucks thanks floridavacation,neutral,please lower my level flight by like 100 bucks thanks floridavacation,True,synonym_replacement
she also appreciated having her very own hashtag lucycat,positive,she also appreciated having her very prize own hashtag lucycat,True,random_insertion
worked out after all thanks for your immediate reply,positive,worked out after all give thanks for your immediate reply,True,synonym_replacement
@USAirways -beg to differ. 4 things booked wrong and still not fixed. Get your act together! #USAirSucks,negative,beg to differ 4 things booked wrong and still not fixed get your act together usairsucks,False,original
of course weather was a joke 43 beats 5 degrees in phl snowmanwithoutsnow sun,neutral,of course weather was a joke 43 beats 5 and in phl degrees sun,True,bert_paraphrasing
in the sky on flight 833 from bos to sfo awesome crew helene rocks,positive,in the philippines on flight 833 from bos to les awesome crew helene rocks,True,bert_paraphrasing
@VirginAmerica You should still develop an app - then you will be my favorite airline.,neutral,you should still develop an app then you will be my favorite airline,False,original
gave a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture,positive,gave a credit for my late flight flight yesterday great service thats a wow moment unexpected and,True,bert_paraphrasing
since when did you get so good again 4 transcontinental flights in 72h what a pleasurerelief you were,positive,since when did you get so good again quaternion transcontinental flights in 72h what a pleasurerelief you were,True,synonym_replacement
"@JetBlue ah no the staff was perfect this morning at JFK, more sleep for me!! :)",positive,ah no the staff was perfect this morning at jfk more sleep for me,False,original
@JetBlue continuing you record of never having a flight leave on time. Add up how much time with with my family you have cost me. #jetblue,negative,continuing you record of never having a flight leave on time add up how much time with with my family you have cost me jetblue,False,original
they said it works 8090 of the time dfw security entrance c26 beforeafter precheck whereas i paid for the service,neutral,they said it works 8090 of the time dfw security trance c26 beforeafter precheck whereas i paid for the service,True,synonym_replacement
thanks i did go through these motions shortly after my flight yesterday i wonder how quickly flight attendants are notified,positive,thanks i did ecstasy through these motions shortly after my flight yesterday i wonder how quickly flight attendants are notified,True,synonym_replacement
@AmericanAir dmed back,neutral,dmed back,False,original
still there i was posted up in downtown waiting for yall on my way,neutral,still there i was posted up in line the for yall on my way,True,bert_paraphrasing
thank you its much appreciated we have been on the plane for 90 min now at the gate,positive,thank you its much appreciated we have been on the plane for 90 airport now at the seconds,True,bert_paraphrasing
@USAirways how do I find an email address regarding reativation of dividend miles. Nothing on website,negative,how do i find an email address regarding reativation of dividend miles nothing on website,False,original
@USAirways @AmericanAir seriously with all the service issues you are having right now this is what you decide to tweet?? Unbelievable,negative,seriously with all the service issues you are having right now this is what you decide to tweet unbelievable,False,original
can you help me add a aadvantage number and known traveler number to a reservation,neutral,can you have me add a aadvantage number and known telephone number to a reservation,True,bert_paraphrasing
fantastic job by your people today on ua22 from dublin a jam packed plane but the crew was wonderful,positive,bad job by your people today on ua22 from dublin a jam patrol plane but the crew was wonderful,True,bert_paraphrasing
@JetBlue #1408 IAD to JFK still hasn't boarded. What's today's excuse and how am I gonna get to work?,negative,1408 iad to jfk still hasnt boarded whats todays excuse and how am i gonna get to work,False,original
thanks guys sweet route over the rockies airplanemodewason,positive,thanks guys sweet itinerary over the rockies airplanemodewason,True,synonym_replacement
@JetBlue flying to Denver March 1st and my flight itenary keeps getting changed what the heck...booked the trip 3 months ago,negative,flying to denver march 1st and my flight itenary keeps getting changed what the heckbooked the trip 3 months ago,False,original
that would be great thank you ill send it over when you follow,positive,that would be great thank you ill send it over give thanks when you follow,True,random_insertion
tweet just popped up on my phone with follows missing my favorite southwest pilot and brother,neutral,tweet just popping up on my phone with follows from my favorite southwest pilot and brother,True,bert_paraphrasing
@AmericanAir not sure why I would bother when the agent at the airport didnt help &amp; nobody on phone would. Ticket Cancelled Flightled for no reason.,negative,not sure why i would bother when the agent at the airport didnt help amp nobody on phone would ticket cancelled flightled for no reason,False,original
@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.,neutral,any possible chance of swa bringing back service between lgabwi it would make it much easier to connect to the west coast,False,original
redcarpet southwest companion pass would be great,positive,south west redcarpet southwest companion pass would be great,True,random_insertion
s ceo battles to appease passengers and wall street waterbury republican american,neutral,s ceo struggle to appease passengers and wall street waterbury republican american,True,synonym_replacement
has the best customer service,positive,has the best bus service,True,bert_paraphrasing
"Hey @united, this is your job, don't give me the safety spin. This is the same plane that broke on the original flight out. #unitedSucks",negative,hey this is your job dont give me the safety spin this is the same plane that broke on the original flight out unitedsucks,False,original
made the upgrade list will fly 1st tomorrow for 40 min for the first time ever raisinghands statusmatchpaidoff,positive,made the upgrade with will fly 1st tomorrow for 40 min for the first time and raisinghands statusmatchpaidoff,True,bert_paraphrasing
yes thx at 1035 landed at 920,positive,yes thx at 1035 landed atomic number  at 920,True,random_insertion
@united - could you please send me a phone # to the refunds department?  We have submitted our claim through email without success.,negative,could you please send me a phone to the refunds department we have submitted our claim through email without success,False,original
@JetBlue @vegecomgirl For me it’s not until 6/15.,neutral,for me its not until 615,False,original
with 3 kids and 11 days 340 doesnt work and its months in advance,neutral,with 3 kids and 11 adults that doesnt work and its months in advance,True,bert_paraphrasing
"@JetBlue @_justdippin_ drops a new video off the upcoming project #TheTakeover, produced by YpOnTheBeat https://t.co/IKQBdZA7TN RT",neutral,drops a new video off the upcoming project thetakeover produced by yponthebeat rt,False,original
@united yes when I landed.,neutral,yes when i landed,False,original
rt our fleets on fleek,neutral,rt our fleet on fleek,True,synonym_replacement
@USAirways you are cutting into my pregame time.  Go @KentuckyMBB !!!!,negative,you are cutting into my pregame time go,False,original
thank you this whole crew has rocked through bad weather and diversion pilot keeping us well informed customerservice,positive,thank you this whole crew has rocked through bad weather and diversion aviate keeping us well informed customerservice,True,synonym_replacement
goes to court to gain access to gates at love field deltanews,neutral,goes to court to gain access to gates at love atomic number  field deltanews,True,random_insertion
@JetBlue April 6th. Anything specific I should know for my first flight?,neutral,april 6th anything specific i should know for my first flight,False,original
many trips coming up i will see you soon grinningfacewithbigeyes,positive,many trips coming up i will see you upward soon grinningfacewithbigeyes,True,random_insertion
@JetBlue received a voucher but if you want to improve relations be up front with passengers.,negative,received a voucher but if you want to improve relations be up front with passengers,False,original
is rising like the sun at dca this morning members have the best view avgeek,positive,is rising like the solarise at dca this morning members have the best view avgeek,True,synonym_replacement
@JetBlue I would go anywhere JetBlue goes.,positive,i would go anywhere jetblue goes,False,original
"@SouthwestAir @tbuccheriFRNC3E. It takes 13.5 hours to fly from Chicago to Beijing on United, and 12 to fly from Vegas to Omaha on SW...",neutral,it takes 135 hours to fly from chicago to beijing on united and 12 to fly from vegas to omaha on sw,False,original
shows us their sense of humor with these tongueincheek flight etiquette videos,positive,shows us their sense of humor with these fine flight etiquette videos,True,bert_paraphrasing
you friends flt from ase to denver is cancelled flightled for tomorrow can you help with rebook,neutral,you friends flt from ase to denver is invalidate flightled for tomorrow can you help with rebook,True,synonym_replacement
“@JetBlue: Our fleet's on fleek. http://t.co/Q16Xvwg0L6” .... I have to refrain what I want to say,neutral,our fleets on fleek i have to refrain what i want to say,False,original
@AmericanAir Thank you. It's much appreciated. We have been on the plane for 90 min now at the gate.,positive,thank you its much appreciated we have been on the plane for 90 min now at the gate,False,original
"@USAirways after 3 Cancelled Flightlations and a delay, causing me to miss connecting flight. Another night not being home. Thanks #pathetic",negative,after 3 cancelled flightlations and a delay causing me to miss connecting flight another night not being home thanks pathetic,False,original
oh definitely i kind of only fly jetblue,positive,oh genial definitely i kind of only fly jetblue,True,random_insertion
"@united well, thanks for not charging me for switching my two Cancelled Flightled flights anyway. That was pretty nice. #stillmakingmepoorthough",positive,well thanks for not charging me for switching my two cancelled flightled flights anyway that was pretty nice stillmakingmepoorthough,False,original
i had exceptional service on flight 403 from ind to phx,positive,i had exceptional service on line 403 from ind to phx,True,bert_paraphrasing
just realized my advantage number wasnt used for my flight how do i get my ff miles,neutral,just realized my advantage number wasnt used for my job how do i get my ten miles,True,bert_paraphrasing
@united YOU SUCK!,negative,you suck,False,original
why is my ktn not showing on my boarding why is tsa precheck not applying to my boarding pass,neutral,why is my resume not showing on my id why is tsa precheck not applying to my boarding pass,True,bert_paraphrasing
i will i love flying with you all great service,positive,i will i love flying with you all bang up service,True,synonym_replacement
is rising like the sun at dca this morning members have the best view avgeek,positive,is news like the sun at dca this morning members have the best just avgeek,True,bert_paraphrasing
.@united Not what's been shared by the pilot with passengers!,negative,not whats been shared by the pilot with passengers,False,original
@USAirways It's not double booked. I spoke with CS and we've got a plan to fix this. It's still an amateur mistake that should never happen.,negative,its not double booked i spoke with cs and weve got a plan to fix this its still an amateur mistake that should never happen,False,original
@USAirways No speciifc email. 1500 character limit for complaints. Is AA/US customer complaints adopting the twitter model?,negative,no speciifc email 1500 character limit for complaints is aaus customer complaints adopting the twitter model,False,original
wow this just blew my mind,positive,wow this just intellect blew my mind,True,random_insertion
@USAirways who would like to watch the video of how loyal customers are really treated while asking for an explanation for our 6 hour delay?,negative,who would like to watch the video of how loyal customers are really treated while asking for an explanation for our 6 hour delay,False,original
@AmericanAir I fly weekly with you and haven't seen one,negative,i fly weekly with you and havent seen one,False,original
i have 2d and 3d embossed badges and patches superior to the ones you are currently using,neutral,i have 2d and 3d embossed badges and patches one to the related you are currently using,True,bert_paraphrasing
please dont rt our fleets on fleek,neutral,please dont rt our eyes on fleek,True,bert_paraphrasing
may start service to hawaii from sanfrancisco this year biztravel,neutral,may start service of process service to hawaii from sanfrancisco this year biztravel,True,random_insertion
"@SouthwestAir there... from my first interaction with your people this morning, after bad weather, sorry but I wont be flying with you again",negative,there from my first interaction with your people this morning after bad weather sorry but i wont be flying with you again,False,original
check the head of the plane there has been dynamite placed onto it,neutral,gibe the head of the plane there has been dynamite placed onto it,True,synonym_replacement
"@SouthwestAir check the head of the plane, there has been dynamite placed onto it",neutral,check the head of the plane there has been dynamite placed onto it,False,original
@USAirways you can't control the weather but you can control customer service. Without luggage for 24 hours &amp; still yet to speak to a human.,negative,you cant control the weather but you can control customer service without luggage for 24 hours amp still yet to speak to a human,False,original
@AmericanAir Here you go https://t.co/oM1vIEg74a,neutral,here you go,False,original
thank you we are signed up for notifications we shall watch and wait snowflake snowflake,neutral,thank you we are today up for making we shall watch and wait snowflake snowflake,True,bert_paraphrasing
"@USAirways on the DL, send Ethan some new pants and some ""white revive"" laundry tabs. He's a great guy, good crew, he's just, err, single.",positive,on the dl send ethan some new pants and some white revive laundry tabs hes a great guy good crew hes just err single,False,original
@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.,negative,is there a united gold number ive been on hold 24 minutes and think i may be lost in nowhereland have a gold reservation help,False,original
happens every time in and out of newark,neutral,happens some time in and out of newark,True,bert_paraphrasing
any delays on tonights flight from dfw to sat i have family members on board,neutral,any delays on tonights go from dfw to sat i have family members on board,True,bert_paraphrasing
thank you for not cancelled flighting all flights and putting my husbands life in danger driving in this weather safetyfirst,positive,thank you for not at thinking all alone and putting my husbands life in danger driving in this weather safetyfirst,True,bert_paraphrasing
tremendous what would you recommend,neutral,terrific what would you recommend,True,synonym_replacement
@USAirways can i please have someone call me 781 879 4505,neutral,can i please have someone call me 781 879 4505,False,original
awesome customer service on 390 from rdu they snuck my wife a warm cookie thx,positive,awesome news back on 390 from rdu they snuck my wife a warm cookie thx,True,bert_paraphrasing
@SouthwestAir I sent you my conf number yesterday.,negative,i sent you my conf number yesterday,False,original
@AmericanAir Sitting at the gate on Flight 719 for an hour due to Sabre being down. What backup plan is in place if Sabre cannot be fixed?,negative,sitting at the gate on flight 719 for an hour due to sabre being down what backup plan is in place if sabre cannot be fixed,False,original
thats ok thanks for letting me know appreciate all the responses,positive,cognise thats ok thanks for letting me know appreciate all the responses,True,random_insertion
i would prefer a similar picture but full of e190 tails but great shot,positive,i would prefer a similar picture but full of e190 tails but great smaller,True,bert_paraphrasing
@SouthwestAir now I can't board thanks. You guys moved me to standby. I've been holding this boarding pass since 7pm yesterday,negative,now i cant board thanks you guys moved me to standby ive been holding this boarding pass since 7pm yesterday,False,original
@united 4 open seats in 1st class on UA 2065. Way to honor your upgrade policy for freq flyers and/or honor an employee with an upgrade.,neutral,4 open seats in 1st class on ua 2065 way to honor your upgrade policy for freq flyers andor honor an employee with an upgrade,False,original
@united Cool. Thank you.,positive,cool thank you,False,original
fantastic job by your people today on ua22 from dublin a jam packed plane but the crew was wonderful,positive,fantastic job by your people today on ua22 from dublin a tight packed plane but the result was wonderful,True,bert_paraphrasing
@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,negative,why would i even consider continuing your point program when i received no perks or continued bad customer service senseless,False,original
@AmericanAir its now 17 days since I contacted customer relations... #surf #fail #BaggageDrama http://t.co/CS1673hrqQ,negative,its now 17 days since i contacted customer relations surf fail baggagedrama,False,original
of my tray table is broken what do i do,neutral,of my tray it is broken what do i do,True,bert_paraphrasing
@SouthwestAir is there a resource to check delays/Cancelled Flightlations out of Love Field? Flying out tomorrow am and stressed about weather! ❄️,neutral,is there a resource to check delayscancelled flightlations out of love field flying out tomorrow am and stressed about weather snowflake,False,original
wow this just blew my mind,positive,and this just blew my mind,True,bert_paraphrasing
@united you know what would be awesome? Providing us with complimentary entertainment on your flights. Especially those longer than 6 hours.,neutral,you know what would be awesome providing us with complimentary entertainment on your flights especially those longer than 6 hours,False,original
we were able to get on the moon flight just got to our hotel in puerto rico thank you,positive,we were able to last on the land flight just got to our hotel in puerto rico thank you,True,bert_paraphrasing
my flight was 3729but i left my phone on the plane or the shuttle,neutral,my flight was 3729but i left my ground on the car or the shuttle,True,bert_paraphrasing
"@VirginAmerica another perfect flight.   How come on your planes,  the sun visors can stay down?  Other carriers make you raise them?",positive,another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them,False,original
we hope to see you on board soon and thanks for the tweet ey clappinghands clappinghands,positive,we hope to help you on board soon and thanks for the see ey clappinghands clappinghands,True,bert_paraphrasing
i have the dm from if needed,neutral,i have the dm from if want,True,synonym_replacement
@AmericanAir  2 hours to be answered on a call?,neutral,2 hours to be answered on a call,False,original
looking forward to using passbook when i fly in a few weeks,positive,looking forward to using bankbook when i fly in a few weeks,True,synonym_replacement
Why doesn't @AmericanAir provide a means for dialogue?  What is the fear that drives this decision?  #worstcustomerserviceever,negative,why doesnt provide a means for dialogue what is the fear that drives this decision worstcustomerserviceever,False,original
"@SouthwestAir worst customer service, Terrible attitudes. I don't care how big a storm.  Your employees need an attitude adjustment",negative,worst customer service terrible attitudes i dont care how big a storm your employees need an attitude adjustment,False,original
just landed flight 545 any chance of making flight 5530 phoenix to aus,neutral,just landed flight 545 any intention of making flight 5530 phoenix to aus,True,bert_paraphrasing
thanks well be in touch,positive,may well be in touch,True,bert_paraphrasing
@USAirways seriously!!!  Flight Cancelled Flighted. Auto rebooked to Tuesday??? Then 3hr 26min on hold for nothing. Renting car. Want refund!!!!,negative,seriously flight cancelled flighted auto rebooked to tuesday then 3hr 26min on hold for nothing renting car want refund,False,original
@USAirways that's why u guys are my #1 choice.,positive,thats why u guys are my 1 choice,False,original
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,neutral,all were entertaining,False,original
@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund,negative,i did eventually get through but that flight cancelled flightled decided to drive but gave up holding to process refund,False,original
"@united no, I have a pricey Chase Mileage Plus CC.",neutral,no i have a pricey chase mileage plus cc,False,original
@JetBlue still waiting for bags from flight 26. It landed an hour ago.,negative,still waiting for bags from flight 26 it landed an hour ago,False,original
@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊,neutral,can you tell me if flight 805 from mdwfll tomorrow 224 is at full capacity im hoping for a little bit of extra room smilingfacewithsmilingeyes,False,original
any chance you will by this summer,neutral,any of you will by this summer,True,bert_paraphrasing
has dc thinking about summer with new nantucket service broadway world,neutral,has dc thinking about merging with new nantucket service broadway world,True,bert_paraphrasing
save some for 871 tomorrow am,neutral,save some for you tomorrow am,True,bert_paraphrasing
shows us their sense of humor with these tongueincheek flight etiquette videos,positive,shows us their sense of humor with these flight of stairs tongueincheek flight etiquette videos,True,random_insertion
"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",negative,awaiting my return phone call just would prefer to use your online selfservice option,False,original
@SouthwestAir can anyone help me upgrade to buisness select !? Cant seem to get hail of the right area at all .. I know you guys are good,positive,can anyone help me upgrade to buisness select cant seem to get hail of the right area at all i know you guys are good,False,original
@AmericanAir me because it might not be so urgent for you but it really is for me. (5),negative,me because it might not be so urgent for you but it really is for me 5,False,original
of course weather was a joke 43 beats 5 degrees in phl snowmanwithoutsnow sun,neutral,of course weather was a chilly 43 beats 5 degrees in that snowmanwithoutsnow sun,True,bert_paraphrasing
that would be great thank you ill send it over when you follow,positive,that would be great thank you ill place it over when you follow,True,synonym_replacement
@AmericanAir @HeyMyNameIsSEAN Sean if you look at the AA schedule it sometimes gives you a clue if new'airplanes are used. They are gr8,neutral,sean if you look at the aa schedule it sometimes gives you a clue if newairplanes are used they are gr8,False,original
@united   It's too bad UA has had another unforeseeable operational issue on my return flight.,negative,its too bad ua has had another unforeseeable operational issue on my return flight,False,original
good evening ua can you assist with an issue via dm,neutral,good evening ua can you assist with an issuing via dm,True,synonym_replacement
thats why u guys are my 1 choice,positive,thats why u guys are my last choice,True,bert_paraphrasing
i had exceptional service on flight 403 from ind to phx,positive,i had exceptional service of process service on flight 403 from ind to phx,True,random_insertion
retiring with my hubby and its our 25th wedding anniversary this year companion pass please,neutral,retiring with my hubby and its our 25th wedding anniversary this year companion pass notes,True,bert_paraphrasing
