Sentence,Sentiment,Cleaned_Sentence
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative,youre the best whenever i begrudgingly use any other airline im delayed and late flight
@united it's cool. I didn't need to go to work today. Or get home to make sure my house is ok in the -30 wind chill.,neutral,its cool i didnt need to go to work today or get home to make sure my house is ok in the 30 wind chill
@USAirways please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!,negative,please hogs my next flight for me im waiting on a bus to get me off one plane so i can run to the other it leaves in two min
@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard,negative,team is back home but luggage all wet and partly damaged not happy blizzard
@SouthwestAir You've inspired me to start my own airline to combat your weak ass airline. sick of this shit,negative,youve inspired me to start my own airline to combat your weak ass airline sick of this shit
"@USAirways Doubt it. Gate 35x is a cluster, and every agent encounter I saw (including one with me) was outright rude. Just very put off.",negative,doubt it gate 35x is a cluster and every agent encounter i saw including one with me was outright rude just very put off
@JetBlue loves Cancelled Flightling tickets and not telling their customers #flyunited,negative,loves cancelled flightling tickets and not telling their customers flyunited
@AmericanAir fortunately the window seat was a no-show. Able to scoot over and create space.,negative,fortunately the window seat was a noshow able to scoot over and create space
"@united It wasn't full, I had plenty of time to go to the gate and check, plus with my status I should have gotten on!?!",negative,it wasnt full i had plenty of time to go to the gate and check plus with my status i should have gotten on
@AmericanAir what about flight 1239?,neutral,what about flight 1239
"@SouthwestAir  we understand air delays which are out of your control, terrible telephone support, apps and online access that do not work??",negative,we understand air delays which are out of your control terrible telephone support apps and online access that do not work
@SouthwestAir grouchy about this flight 636 #complimentarybeveragesneeded,negative,grouchy about this flight 636 complimentarybeveragesneeded
@JetBlue why wouldn't you just credit it right to my account instead of having a separate sign on. That seems pretty ridiculous.,negative,why wouldnt you just credit it right to my account instead of having a separate sign on that seems pretty ridiculous
@united tremendous. What would you recommend?,neutral,tremendous what would you recommend
@USAirways the plane is moving and it's no ice. We are moving to the end of the runway to sit because LGA has one runway open.,negative,the plane is moving and its no ice we are moving to the end of the runway to sit because lga has one runway open
"@united Don't know her last name, but Karen at your call center is terrific.  Friendly, helpful.  Terrific representative. Kudos.",positive,dont know her last name but karen at your call center is terrific friendly helpful terrific representative kudos
@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c,neutral,club virgin is bumping in new york
"@JetBlue not cool to announce a flight ""delay"" when everyone is checking in. A 4 hour delay bdl-dca with a staff offering  no help.",negative,not cool to announce a flight delay when everyone is checking in a 4 hour delay bdldca with a staff offering no help
@united I'll be sending/posting complete details of the circumstances surrounding this matter.  United airlines should be ashamed.,negative,ill be sendingposting complete details of the circumstances surrounding this matter united airlines should be ashamed
@JetBlue where exactly can I leave a note,negative,where exactly can i leave a note
@united it's boarding time for ua3882 but no crewe,negative,its boarding time for ua3882 but no crewe
@AmericanAir been trying to speak to agent for 24hrs about my Cancelled Flightled flight but reps always busy. how do I get ahold of you?,negative,been trying to speak to agent for 24hrs about my cancelled flightled flight but reps always busy how do i get ahold of you
@AmericanAir Flight #2390 delayed 14 hours!! No one at #AmericanAirlines counter can tell my husband that he will be on that flight! Help???,negative,flight 2390 delayed 14 hours no one at americanairlines counter can tell my husband that he will be on that flight help
@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.,negative,a flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation
“@JetBlue: @KyleComer_ JetBlue reLate Flightd this time? ;)” no... But why won't school be Cancelled Flighted? it's very cold out,neutral,jetblue relate flightd this time no but why wont school be cancelled flighted its very cold out
@united look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight http://t.co/o1u96Xc3bo,negative,look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight
"@USAirways I appreciate the hard work. Still, I gave up after &gt;hour. @dsearls",negative,i appreciate the hard work still i gave up after gthour
“@USAirways: @TMadCLE We don't like to hear this. We're sorry that it's taking so long to get through.” Stop sending generic responses,negative,we dont like to hear this were sorry that its taking so long to get through stop sending generic responses
@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy,negative,why do i still not have my bags they arrived ampwebsite says theyre still at the airport2 12 hours late flightr nothappy
"@JetBlue I would prefer a similar picture but full of E190 tails, but great shot!",positive,i would prefer a similar picture but full of e190 tails but great shot
@united no thank you,neutral,no thank you
@united you have failed so uncontrollably today that it's beyond repair. I'm beyond livid with your absolute disregard to operations.,negative,you have failed so uncontrollably today that its beyond repair im beyond livid with your absolute disregard to operations
"@SouthwestAir - neveryamind I paid $450 for a flight. 250 for a new bag is easy for business class customers, right? http://t.co/vn3JJIa53O",negative,neveryamind i paid 450 for a flight 250 for a new bag is easy for business class customers right
@united I miss the Continental days.,negative,i miss the continental days
@united the costumer services here at Denver Intl Airport is ridiculous bad!,negative,the costumer services here at denver intl airport is ridiculous bad
"@AmericanAir all right, but can you give me an email to write to ?",negative,all right but can you give me an email to write to
@USAirways i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now....,negative,i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now
"@AmericanAir Would have had to fly real far south, huh? #WinterWeather #Brrr",neutral,would have had to fly real far south huh winterweather brrr
"@AmericanAir Hello, question, How many balloons do you think it will take to life up one of your planes?",negative,hello question how many balloons do you think it will take to life up one of your planes
@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,neutral,may start service to hawaii from sanfrancisco this year biztravel
"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags.",negative,flight arrives 30 minutes early but then have we to wait for an hour for our bags
@united even though technically after I land I will be silver?,neutral,even though technically after i land i will be silver
@USAirways no you not sorry. I am trying 2 add a day 2 my vacation but there is a $200 charge just 2 change flights,negative,no you not sorry i am trying 2 add a day 2 my vacation but there is a 200 charge just 2 change flights
@united what's going on with the mileage plus accounts? Login through username and email have been down for at least three days.,negative,whats going on with the mileage plus accounts login through username and email have been down for at least three days
@united just tried to log in and was told e-mail log in not currently available,negative,just tried to log in and was told email log in not currently available
@USAirways we bought our tickets months ago. Had seats together for all 6. Haven't changed flight. Now 4 kids seats are scattered on plane.,negative,we bought our tickets months ago had seats together for all 6 havent changed flight now 4 kids seats are scattered on plane
@SouthwestAir thanks connection thru Nashville have A1 boarding pass get to Dallas gate boarding 40 min before flt get end of B group,positive,thanks connection thru nashville have a1 boarding pass get to dallas gate boarding 40 min before flt get end of b group
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,negative,why cant we book seats on your flights when we buy them or even during check in creates so much anxiety frustrated
@AmericanAir I know. Just a little cold weather humor. :),neutral,i know just a little cold weather humor
@jetblue rqstd upgrade to mint at LAX and was told no because i used points! Why turn down $1600 bcz I used points? #trueblue,negative,rqstd upgrade to mint at lax and was told no because i used points why turn down 1600 bcz i used points trueblue
@united rushed through the -6 degree weather to get to the airport on time. Too bad the pilots didn't do the same. #stillwaiting.,negative,rushed through the 6 degree weather to get to the airport on time too bad the pilots didnt do the same stillwaiting
@USAirways charging $200 2 change a flight is a rip off the reason I have 2 is out of my hands &amp; I want 2 reschedule same flight but in July,negative,charging 200 2 change a flight is a rip off the reason i have 2 is out of my hands amp i want 2 reschedule same flight but in july
@USAirways flight 837 passengers stuck on plane in Philly. Where is the gangway?  We can't hear the pilot,negative,flight 837 passengers stuck on plane in philly where is the gangway we cant hear the pilot
"@USAirways if you mean by posted, no USAir empl to direct anyone, 800# not accepting calls, no contact from USAir re: rebook #greatjob",negative,if you mean by posted no usair empl to direct anyone 800 not accepting calls no contact from usair re rebook greatjob
@AmericanAir you need to work harder on the disconnect between your intention and the reality your passengers face,negative,you need to work harder on the disconnect between your intention and the reality your passengers face
"@USAirways 6 hours, no agent. Should I keep waiting?",negative,6 hours no agent should i keep waiting
@united reservation was made last July. I want to know why I wasn't reseated. This only happens on international itineraries,negative,reservation was made last july i want to know why i wasnt reseated this only happens on international itineraries
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,neutral,adds pillows instead of lieflat seats in first class arms race
@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!,positive,thankful for great service in newark seats fixed and i was seated with my daughter fab landing in fort myers
"@SouthwestAir sure,I'll send a message now!",neutral,sureill send a message now
@united I sent my details to the customer care link you sent me almost a month ago and no response.,negative,i sent my details to the customer care link you sent me almost a month ago and no response
@AmericanAir been calling for over 24hrs now and getting no where but told to call back by the automated system is extremely frustrating,negative,been calling for over 24hrs now and getting no where but told to call back by the automated system is extremely frustrating
"@AmericanAir Agents in DFW were very kind did their best to help, but this doesn't make up for PHX error and attitude! #Americant",negative,agents in dfw were very kind did their best to help but this doesnt make up for phx error and attitude americant
"@JetBlue Rats, that's a bummer!",negative,rats thats a bummer
@AmericanAir When will the old 777-200 fly ORD-PVG get upgraded?,neutral,when will the old 777200 fly ordpvg get upgraded
@AmericanAir #americanview New paint scheme looks great! #usairways http://t.co/Gt6umHbh43,positive,americanview new paint scheme looks great usairways
@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...,negative,didnt get her name she was not in our group she was sitting behind us think it was window seat 40 we only overheard
@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove,positive,luv your new luv television commercials traveled on your airline last year return trip from nycfeltthelove
@SouthwestAir you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I  would Buyer beware,negative,you guys just rip me off if i could cancelled flight every flight i had booked for my employees i would buyer beware
@USAirways how does an airline misplace an airline attendant?!! been at Reagan airport since 1pm10:15 to Cincy is delayed trying to find her,negative,how does an airline misplace an airline attendant been at reagan airport since 1pm1015 to cincy is delayed trying to find her
@united Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.,negative,stuck in ord because united cant find their airplane lol upset terminal right now
@USAirways Flight 1815 (N747UW) arrives at @FlyTPA following flight from @PHLAirport http://t.co/TtLwZgIyAg,neutral,flight 1815 n747uw arrives at following flight from
"@USAirways #Overbooked SXM-CLT delayed deplaning extra passengers. #missedconnection #forcedovernight #CLT, no lodging/food. Disappointed.",negative,overbooked sxmclt delayed deplaning extra passengers missedconnection forcedovernight clt no lodgingfood disappointed
@SouthwestAir not letting me DM. # is FSZ4YO,negative,not letting me dm is fsz4yo
@SouthwestAir i have asked Lindsey to call me instead of DM like a schoolgirl but so far no call   Getting tired of typing little notes,negative,i have asked lindsey to call me instead of dm like a schoolgirl but so far no call getting tired of typing little notes
@USAirways I'm trying to Cancelled Flight my flight within the 24hr window but have been on hold for over an hour. Is there an alternate # I can dial?,negative,im trying to cancelled flight my flight within the 24hr window but have been on hold for over an hour is there an alternate i can dial
.@AmericanAir how about connecting me with a customer service rep? I'd rather speak to a person than a computer. Thanks!,negative,how about connecting me with a customer service rep id rather speak to a person than a computer thanks
@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon,positive,is officially my favorite airline they have created magic for me all day friendlyskies careyon
@USAirways will I get the full amount credited to my account for US Airways credit?,neutral,will i get the full amount credited to my account for us airways credit
@united with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport,negative,with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport
"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?",negative,once again flying aa4285 once again 60 min delay because of mechanical issues perhaps you should consider maintenance
@AmericanAir I called reservation at 1 am and I'm still waiting for someone to call me back,negative,i called reservation at 1 am and im still waiting for someone to call me back
@SouthwestAir  goes to court to gain access to @Delta gates at Love Field  http://t.co/ILqzmMJiYQ #deltanews,neutral,goes to court to gain access to gates at love field deltanews
"@JetBlue Well, I try! See you soon!! @JayVig",neutral,well i try see you soon
@JetBlue got it. Thanks,positive,got it thanks
@SouthwestAir but when do I get my gin &amp; tonic !?!?,negative,but when do i get my gin amp tonic
@USAirways once again your company actualy put people in weird situations.Your hostel voucher was fake.Snow is ok but no lies please,negative,once again your company actualy put people in weird situationsyour hostel voucher was fakesnow is ok but no lies please
@JetBlue thanks so much!! ❤️✨ very relaxing flight!,positive,thanks so much redheart sparkles very relaxing flight
"@JetBlue, your hold music sucks.",negative,your hold music sucks
@AmericanAir I love your company and your staff is amazing. They just made an uncomfortable situation comfortable,positive,i love your company and your staff is amazing they just made an uncomfortable situation comfortable
@AmericanAir I'm frustrated by all of the @USAirways attitude toward #ExecPlat members. #thenewamerican,negative,im frustrated by all of the attitude toward execplat members thenewamerican
@united IT-problems with the link? #3thparty,negative,itproblems with the link 3thparty
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive,view of downtown los angeles the hollywood sign and beyond that rain in the mountains
@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,neutral,can u help this princess needs urgent treatment in unitedstates 2y old battling cancer could u help with flights growingheart freyasfund
@united I've filed the claim but have no way of calling for updates. Is there another way to do this?,neutral,ive filed the claim but have no way of calling for updates is there another way to do this
"@JetBlue there was a closure? People here need to inform passengers, not send them gate to gate w no info on boards re: updated departures",negative,there was a closure people here need to inform passengers not send them gate to gate w no info on boards re updated departures
@united next day,neutral,next day
"@SouthwestAir there... from my first interaction with your people this morning, after bad weather, sorry but I wont be flying with you again",negative,there from my first interaction with your people this morning after bad weather sorry but i wont be flying with you again
@USAirways thank you very much.,positive,thank you very much
@SouthwestAir bad weather and multiple Cancelled Flighted flights has us all scared!  Noted for next time.,negative,bad weather and multiple cancelled flighted flights has us all scared noted for next time
"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",positive,despite shaky connections looks like ill get home tonight great job was touch and go for a while
@SouthwestAir Great trip on 2672 yesterday - outstanding flight attendants,positive,great trip on 2672 yesterday outstanding flight attendants
"@AmericanAir Understood. Integration takes time, but no excuse for poor customer service",negative,understood integration takes time but no excuse for poor customer service
@JetBlue it was booked through work but added upgrade on seat. Need the upgrade receipt.,positive,it was booked through work but added upgrade on seat need the upgrade receipt
@JetBlue @vegecomgirl For me it’s not until 6/15.,neutral,for me its not until 615
@united any help is appreciated. That's a LOOONG wait for help on something that's not his fault,negative,any help is appreciated thats a looong wait for help on something thats not his fault
@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-),neutral,checked in boardingpass wno checkin bagage guess im all set
"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir",positive,hey awesome thanks for the reply will be filling the form out
"@AmericanAir Uwon't allow me2make changes online, force me2sit thru excess phone wait times&amp;still insist charging crazy fees. Thats service?",negative,uwont allow me2make changes online force me2sit thru excess phone wait timesampstill insist charging crazy fees thats service
@SouthwestAir very disappointed in your handling of tonight's Cancelled Flighted Dallas flight.  Not that it was Cancelled Flighted but no contingencies.,negative,very disappointed in your handling of tonights cancelled flighted dallas flight not that it was cancelled flighted but no contingencies
"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines.",negative,found a group of people who actually hates people more than isis thats right united airlines
@USAirways US 728/Feb 21. Ground power shorts again for the third time. Weary German passenger deplanes. Makes me jealous. Auf wiedersehen!,negative,us 728feb 21 ground power shorts again for the third time weary german passenger deplanes makes me jealous auf wiedersehen
"@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept.",negative,i called jet blue to get an explanation and make sure it would not happen in the future i was told to write the fraud dept
@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.,neutral,im on standby for my connecting flight 1st on the list nudgenudge im told there are four slots open save it for me please
"@AmericanAir I've been on hold for 55 mins about my Cancelled Flighted international flight. Am out of country, so can't leave a call back #. Help?",negative,ive been on hold for 55 mins about my cancelled flighted international flight am out of country so cant leave a call back help
@AmericanAir already shared with them. Nothing done!,negative,already shared with them nothing done
@SouthwestAir what are the chances you will be Cancelled Flighting all flights in and out of Nashville again?,negative,what are the chances you will be cancelled flighting all flights in and out of nashville again
@SouthwestAir is the contest over for Destination Dragons? I want to try to do everything I can to go.,neutral,is the contest over for destination dragons i want to try to do everything i can to go
".@united just curious why you'd board a flight without a pilot. Seems crucial to the flight process, no?",negative,just curious why youd board a flight without a pilot seems crucial to the flight process no
@united   It's too bad UA has had another unforeseeable operational issue on my return flight.,negative,its too bad ua has had another unforeseeable operational issue on my return flight
"@SouthwestAir can u follow so I can DM a confirmation number I need confirmed to Cancelled Flight?
I will call to confirm Monday for refund",neutral,can u follow so i can dm a confirmation number i need confirmed to cancelled flight i will call to confirm monday for refund
@SouthwestAir I have been loyal to Southwest from the beginning but very unhappy about your devaluation.,negative,i have been loyal to southwest from the beginning but very unhappy about your devaluation
@USAirways they say connections are good still...but another reFlight Booking Problems is the last thing I need today,negative,they say connections are good stillbut another reflight booking problems is the last thing i need today
@united all day travel. #swag #ijustwanttosleep,neutral,all day travel swag ijustwanttosleep
@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥,negative,applied for status match on feb 1 got confirmation email same day still no news though you guys have dropped ball late flightly sadbutrelievedface
@USAirways @satesq theres only one flt PHL-CRW per day.,neutral,theres only one flt phlcrw per day
@SouthwestAir thanks. What's your opinion on chances of getting in okay tomorrow?,neutral,thanks whats your opinion on chances of getting in okay tomorrow
@JetBlue lmfao.,neutral,lmfao
"@JetBlue can't link my flight from last week to my TruBlue account and 1800 num isn't answering..don't make me fly @Delta again, dont do it!",negative,cant link my flight from last week to my trublue account and 1800 num isnt answeringdont make me fly again dont do it
@JetBlue @philpete wonder if that's the pilot tweeting you back? Is it legal to tweet and fly? What if the plane in front stops suddenly?,negative,wonder if thats the pilot tweeting you back is it legal to tweet and fly what if the plane in front stops suddenly
"@united read the thread. I booked 1st class , now seated at 38E even though United Twtr account confirmed Eco Premium.",negative,read the thread i booked 1st class now seated at 38e even though united twtr account confirmed eco premium
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative,sf crew lack a lot of customer service lax employees are a lot better wonder why
"@AmericanAir oh I did. All I received back was an email saying "" delays happen"".. Uh huh..",negative,oh i did all i received back was an email saying delays happen uh huh
@AmericanAir and @iTunesMusic have put me in bad mood. I haven't been this angry since Spagnuolo coached the #Rams,negative,and have put me in bad mood i havent been this angry since spagnuolo coached the rams
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",neutral,beats expectations shares take off santa cruz sentinel
@USAirways I did they are busy,negative,i did they are busy
@AmericanAir spoke too soon. 30 min Late Flightr still waiting for bags to load. Some sympathy would be appreciated at the very least.,negative,spoke too soon 30 min late flightr still waiting for bags to load some sympathy would be appreciated at the very least
@united They finally gave in a let him on. After they threatened to send him back to Vegas on coach. Thnx.,positive,they finally gave in a let him on after they threatened to send him back to vegas on coach thnx
@SouthwestAir okay just signed up!,neutral,okay just signed up
@JetBlue is that one on the picture http://t.co/lxwbsfxfj0,neutral,is that one on the picture
@JetBlue we have. Twice. They said they can't dim those lights. But they did on our first flight.,negative,we have twice they said they cant dim those lights but they did on our first flight
@SouthwestAir Please bring back RDU to FLL direct route!  I noticed it is missing starting in Late Flight August!  The flights are always packed!,neutral,please bring back rdu to fll direct route i noticed it is missing starting in late flight august the flights are always packed
"@USAirways help! Flight Cancelled Flighted, can't call because my phone doesn't work in Europe. Please help? Says I'm booked want to confirm.",negative,help flight cancelled flighted cant call because my phone doesnt work in europe please help says im booked want to confirm
@JetBlue you don't remember our date Monday night back to NYC? #heartbroken,positive,you dont remember our date monday night back to nyc heartbroken
@united Woke up to notification- flight moved 1.5 hrs early. Barely made flight then 3 hrs layover in SFO - wanted to hop on earlier option,negative,woke up to notification flight moved 15 hrs early barely made flight then 3 hrs layover in sfo wanted to hop on earlier option
@SouthwestAir All I requested was a refund of my Reward Points that I used to purchase the flight and he refused.,negative,all i requested was a refund of my reward points that i used to purchase the flight and he refused
@AmericanAir Or u cud answer my ? here! 140 is plenty. Inflight stealing going on right now &amp; FA won't have the uncomfortable convo w pass.,negative,or u cud answer my here 140 is plenty inflight stealing going on right now amp fa wont have the uncomfortable convo w pass
@USAirways US 728/Feb 21 Kim Y says: leaving on 15 minutes once paperwork is done. Wheels up ~ 1.5 hours Late Flightr.,negative,us 728feb 21 kim y says leaving on 15 minutes once paperwork is done wheels up 15 hours late flightr
@USAirways the jetway because he felt I was disrespectful. I have never been treated this way particularly when I was trying to be a good c,negative,the jetway because he felt i was disrespectful i have never been treated this way particularly when i was trying to be a good c
@AmericanAir why is it from June 1 thru December 31 there are no bus/first milesaaver awards available from cun to nyc? #Explain #whyfly,neutral,why is it from june 1 thru december 31 there are no busfirst milesaaver awards available from cun to nyc explain whyfly
@AmericanAir well have all day and all the time in the world,positive,well have all day and all the time in the world
"@JetBlue you don't need to cut services, charge more and give a better flying experience. That's why I use jet blue in the first place",positive,you dont need to cut services charge more and give a better flying experience thats why i use jet blue in the first place
@AmericanAir  2 hours to be answered on a call?,neutral,2 hours to be answered on a call
@USAirways #Unbelievable that for 2 consecutive days I can't get through to a person.  On hold over 2 hours and still going,negative,unbelievable that for 2 consecutive days i cant get through to a person on hold over 2 hours and still going
@JetBlue I want to give a warm thanks to your crew at Logan airport for still getting me to the DC area after Cancelled Flightlations this morning!,positive,i want to give a warm thanks to your crew at logan airport for still getting me to the dc area after cancelled flightlations this morning
@SouthwestAir That's an awesome library.,positive,thats an awesome library
@JetBlue do you have mint service from NYC to San Diego?,neutral,do you have mint service from nyc to san diego
@JetBlue works with Google #chrome but not Internet Explorer.,neutral,works with google chrome but not internet explorer
@AmericanAir your customer service is a disgrace.,negative,your customer service is a disgrace
@AmericanAir can you help me update a birthday that was incorrectly input in a reservation? This is preventing me from checking in,neutral,can you help me update a birthday that was incorrectly input in a reservation this is preventing me from checking in
@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.,negative,ours in july you have zero excuses for this you have an outofdate system that causes problems like this
"@AmericanAir you Cancelled Flightled my flight due to ""weather"" when others are flying out just fine.  No compensation, no resolution.  Incompetent.",negative,you cancelled flightled my flight due to weather when others are flying out just fine no compensation no resolution incompetent
@jetblue you just directed me to your mobile website. Where is the direct link? GET IT TOGETHER!,negative,you just directed me to your mobile website where is the direct link get it together
@southwestair TREMENDOUS job. Atlanta Airport saw SW celebrate Mardi Gras. Another reason I'm nuts for you guys! http://t.co/8WBzOrRn3C,neutral,tremendous job atlanta airport saw sw celebrate mardi gras another reason im nuts for you guys
"@AmericanAir To think that I'm a ""Priority Member""! Wonder how you treat the plebes. I know which rewards card I'm Cancelled Flightling immediately.",negative,to think that im a priority member wonder how you treat the plebes i know which rewards card im cancelled flightling immediately
"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting",negative,the hotel you sent us to wouldnt take the voucher our flight was delayed then cancelled flightled then delayed again 32 hours and counting
@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,negative,in ord hotel issued to my 4yr old tickets needed fixing again another hour and 5 agents l8r nightmare still not over
@united I was rebooked but had to take bus from Portland Maine to Boston. Told United does not cover the charge.,negative,i was rebooked but had to take bus from portland maine to boston told united does not cover the charge
@JetBlue That's great! Thank you.,positive,thats great thank you
@AmericanAir is the 24/7 phone line open? On hold for over 2 hours now. Your check-in agents cannot help at the airport itself. Please help.,negative,is the 247 phone line open on hold for over 2 hours now your checkin agents cannot help at the airport itself please help
@USAirways - been on hold with reservations for over 30 min already! #worstairline,negative,been on hold with reservations for over 30 min already worstairline
@USAirways we will...sunday! Just a few days away,positive,we willsunday just a few days away
@united how do you go fr Silver Elite for two straight years to group 5 all the time?  I get no group 2 but maybe 3 or 4?  What's up?,neutral,how do you go fr silver elite for two straight years to group 5 all the time i get no group 2 but maybe 3 or 4 whats up
@USAirways / @AmericanAir are incompetent.,negative,are incompetent
@JetBlue great flight http://t.co/E0R0NTO4TR,positive,great flight
"@united has not responded to my various requests for contact numbers, does anyone know the UK customer service number for #UnitedAirlines",negative,has not responded to my various requests for contact numbers does anyone know the uk customer service number for unitedairlines
@jetblue is the website down? Can't print boarding pass,negative,is the website down cant print boarding pass
@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,negative,they helped me at the baggage service desk said bc tsa screening was down in fll not all bags made it but bag will be in ewr 12
"@AmericanAir @NY_NJairports AA1224: 45 mins for Priority bags to arrive, now Late Flight for evening plans! Delta 20 min bag guarantee anyone? :(",negative,aa1224 45 mins for priority bags to arrive now late flight for evening plans delta 20 min bag guarantee anyone
"@AmericanAir flight from PHL to Austin Cancelled Flighted, headed to Houston, delayed, now have to pay to rent a car and drive 3 hrs to Austin",negative,flight from phl to austin cancelled flighted headed to houston delayed now have to pay to rent a car and drive 3 hrs to austin
@united they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location,negative,they had record of it being at denver on the concourse prior to me gettin on the shuttle i just want to confirm its location
@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.,negative,lost bags cancelled flightled flights delhi call centers poor united staff spread thin and stressed you name it
@JetBlue no. Please stop.,negative,no please stop
@AmericanAir but have been yet to receive assistance from one of your agents in securing a new connection. Many will now miss work tomorrow.,negative,but have been yet to receive assistance from one of your agents in securing a new connection many will now miss work tomorrow
@JetBlue customer service says since my wife setup a family account that she now can't join mine for a year???  Help me fix please.,negative,customer service says since my wife setup a family account that she now cant join mine for a year help me fix please
Haha! @JetBlue: Our fleet's on fleek. http://t.co/KmaNLdQbh4”,negative,haha our fleets on fleek
@USAirways Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!,positive,shout out to the redheaded gate agent for flt 3389 from dca to chs at 710 tonight didnt get her name but she was great
"@AmericanAir @karabuxthomps Yeah, I have a lot of questions, number one: how dare you",negative,yeah i have a lot of questions number one how dare you
@USAirways you guys lost my luggage,negative,you guys lost my luggage
@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,negative,we have been stuck in sju for several hours and no one is answering here really tough to luv sw no response is bad
@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi,negative,gate c 24 iad u released passengers to board wothers deplaning 50 peopleon bridge while next flight board
@united Okay thanks if you could please update me. I was told at the airport someone would call me today but they haven't.,negative,okay thanks if you could please update me i was told at the airport someone would call me today but they havent
..... Can you not? “@JetBlue: Our fleet's on fleek. http://t.co/udPq0flIQo”,neutral,can you not our fleets on fleek
@united nice. I wonder how you pick who to respond to? Maybe only happy customers are easier. I wonder how many of those you have left.,negative,nice i wonder how you pick who to respond to maybe only happy customers are easier i wonder how many of those you have left
@AmericanAir is flight 1318 Cancelled Flighted or not? No word from the ground staff.,negative,is flight 1318 cancelled flighted or not no word from the ground staff
@SouthwestAir we are 2 mins from departure of 4125 and no announced update nor an update to on time status. Everyone just standing. #comeon,negative,we are 2 mins from departure of 4125 and no announced update nor an update to on time status everyone just standing comeon
@USAirways the phone number the gate gave me doesn't work either. What is your customer service phone number?,negative,the phone number the gate gave me doesnt work either what is your customer service phone number
@SouthwestAir Flight 3267 (N659SW) arrives at @FlyTPA following flight from @MitchellAirport http://t.co/LJ2YdKoR8q,neutral,flight 3267 n659sw arrives at following flight from
@united and waiting,negative,and waiting
