text,airline_sentiment
@JetBlue @DatingRev mco to lag two hour delay and sitting in Tarmac going on 40 minutes with infants crying on plane!! Get us off this plane,negative
@United rescheduled my return flight from #Japan?  Uh why?  Trying to call #UnitedAirlines #customerservice - 45 min wait.  #fun,negative
@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?,negative
"@SouthwestAir can tweet through the weekend/ bad weather, but closes down customer relations center to process refunds for Cancelled Flighted flights.",negative
@united your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!,negative
@SouthwestAir weather bc of system outage. Hopefully everything goes smoothly now. Thank you for follow up,positive
@united already missed connection... UA 495,negative
@AmericanAir  2/2 You took cost for both flights out of my bank account. Now I can't get a refund for 2 weeks? I have been a loyal customer.,negative
@VirginAmerica trying to book a flight &amp; your site is down 😁,negative
"@JetBlue Are you having any issues with online check-in? My colleague and I are getting ""Webpage not available"" after submitting online form",negative
@VirginAmerica wow this just blew my mind,positive
@AmericanAir wow @AmericanAir still screw n stuff up,negative
@SouthwestAir I just wanna say you're incredible for sending people to see their idols. Sooooo kind and amazing💖 #DestinationDragons,positive
"@united right as we think we will take off, we stop to get de-iced. Why wasn't this done when the planes were sitting out all night?",negative
Hey @AmericanAir why automated call me and then hang up at 4:45 am!?! And why can't I reschedule Cancelled Flighted flights via web!?! Come on!!!,negative
"Listen, im not gonna deny this but... RT @JetBlue: Our fleet's on fleek. http://t.co/eNXV64RkbU",neutral
"@USAirways yeah I know that but that doesn't get me my money back does it, everytime I fly with you something bad happens.",negative
@USAirways any direct number to dividend miles account info? Every Time I try them I get actually hung up on,negative
@AmericanAir What's the status at DFW? Ticket agent at gate A9 was very rude and unhelpful.,negative
@united I have received one previously on the 11th having checked. Odd as you said there was no complaint associated with my e-mail?,negative
@USAirways it's been three weeks since I was specifically told I would get a call back from your folks in AZ- should I keep being patient?,negative
@united and that it would be sent on the next flight to Hayden/steamboat (HDN) from Denver. So I'm hoping its on there,negative
@USAirways won't waive $200 fee due to #neptune. Can't use credit w/o paying fee. Couldnt get to destination to use their tic #waivethefee,negative
@USAirways how do you lose a pilot????,negative
"Can I put sun in my carry on? RT “@united: @ant_kneee Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”",neutral
@JetBlue it's ok. Things happen. Just very frustrated when you have to change your schedule. See you tomorrow for a new rescheduled flight.,negative
@USAirways i tried it but doesnt help very much and Reservation seems to be overwhelmed with some issues,negative
@SouthwestAir how do I go on the scavenger hunt if I'm in Boston?,neutral
@usairways Ok thank you…I call from Spain to US for seating assistance!,negative
@JetBlue seriously?? What is going on?! http://t.co/mTHM9waObu,negative
"@JetBlue You can pass that along to my wife, daughter, daughter's friend, my elderly mother-in-law.  They spent several hours waiting.",negative
@USAirways im on the plane not sure what you mean. We are sitting here. It's just one story of failure after another when I fly you guys,negative
@SouthwestAir can't wait! Thanks for the response!❤️,positive
@USAirways I'll sincerely regret Dividend miles! Good things coming to an end :(,negative
@JetBlue where do I add my AA loyalty number to my Jetblue reservation?,neutral
"@JetBlue not ok to Cancelled Flight flight 1274 tmrw for ""weather"" &amp; to rebook 4 flight the next day when there is flight tmrw night. no compensation?",negative
"@USAirways  I have a party of 4 booked for a flight in Aug. At 10:05am, how can I find out how much it would cost to change to an earlier fl",neutral
@JetBlue when are you going to get wifi on your planes?,neutral
@JetBlue @KyleJudah be responsible for replacing it,negative
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,neutral
@united three delayed flights and missed connections on first class flights and not get any compensation for losing those seats...,negative
@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan_Fund 💗 🎀 💗,neutral
Why “@JetBlue: Our fleet's on fleek. http://t.co/a7NvbJ8ipx”,positive
@SouthwestAir #RedCarpet Southwest Companion Pass would be great!,positive
@AmericanAir are flights from Columbus Ohio to Dallas Texas Cancelled Flighted?,neutral
@SouthwestAir retiring with my hubby and it's our 25th wedding anniversary this year! Companion pass please!!,neutral
@JetBlue There's a large family of birds inside T5. Are they fed? Are they there for a purpose?,neutral
@JetBlue word thanks,positive
@SouthwestAir Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,positive
@SouthwestAir you cx'ed almost the entire east coast flights All other planes are taking off any traveling fine I need to get to Nev ASAP,negative
"@USAirways I already did. My question is, why does it still say in progress on @AskPayPal? It's been 6 days.",negative
@USAirways should give me free baggage for this mess,negative
@USAirways thanks,positive
@USAirways I paid for my ticket on @PayPal on the 13th and it still says pending. Is that normal? I just want the money out of my account.,negative
@SouthwestAir  Southwest is currently awaiting government approval for this route. Do we know when it will be official?,neutral
@united WTF!?!? Delay after delay. 15 hours YVR to SAN? Unacceptable. Flight Crew Availability is to blame? NEVER AGAIN with @united,negative
@AmericanAir I like the call back system. But thought you'd like to know it's not working well. I received three calls but there's no audio.,negative
"@united it was an international flight, and we didn't get our new eta until we were in the air.",negative
Never got to the strip that fast before. Stoked for special @Imaginedragons show tonight! Thx again @SouthwestAir! http://t.co/ToPqmVqnJp,positive
@SouthwestAir can you tell me why you Cancelled Flightled the flight vs delay,negative
@usairways hey just letting you know you're the worst fucking service I've ever used thanks for nothing,negative
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,neutral
@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative
@united it's cool. I didn't need to go to work today. Or get home to make sure my house is ok in the -30 wind chill.,neutral
@USAirways please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!,negative
@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard,negative
@SouthwestAir You've inspired me to start my own airline to combat your weak ass airline. sick of this shit,negative
"@USAirways Doubt it. Gate 35x is a cluster, and every agent encounter I saw (including one with me) was outright rude. Just very put off.",negative
@JetBlue loves Cancelled Flightling tickets and not telling their customers #flyunited,negative
@united Thank you.,positive
@AmericanAir fortunately the window seat was a no-show. Able to scoot over and create space.,negative
"@united It wasn't full, I had plenty of time to go to the gate and check, plus with my status I should have gotten on!?!",negative
@AmericanAir what about flight 1239?,neutral
"@SouthwestAir  we understand air delays which are out of your control, terrible telephone support, apps and online access that do not work??",negative
@SouthwestAir grouchy about this flight 636 #complimentarybeveragesneeded,negative
@JetBlue why wouldn't you just credit it right to my account instead of having a separate sign on. That seems pretty ridiculous.,negative
@united tremendous. What would you recommend?,neutral
@USAirways the plane is moving and it's no ice. We are moving to the end of the runway to sit because LGA has one runway open.,negative
"@united Don't know her last name, but Karen at your call center is terrific.  Friendly, helpful.  Terrific representative. Kudos.",positive
@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c,neutral
"@JetBlue not cool to announce a flight ""delay"" when everyone is checking in. A 4 hour delay bdl-dca with a staff offering  no help.",negative
@united I'll be sending/posting complete details of the circumstances surrounding this matter.  United airlines should be ashamed.,negative
@JetBlue where exactly can I leave a note,negative
@united it's boarding time for ua3882 but no crewe,negative
@AmericanAir been trying to speak to agent for 24hrs about my Cancelled Flightled flight but reps always busy. how do I get ahold of you?,negative
@AmericanAir Flight #2390 delayed 14 hours!! No one at #AmericanAirlines counter can tell my husband that he will be on that flight! Help???,negative
@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.,negative
“@JetBlue: @KyleComer_ JetBlue reLate Flightd this time? ;)” no... But why won't school be Cancelled Flighted? it's very cold out,neutral
@united look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight http://t.co/o1u96Xc3bo,negative
"@USAirways I appreciate the hard work. Still, I gave up after &gt;hour. @dsearls",negative
“@USAirways: @TMadCLE We don't like to hear this. We're sorry that it's taking so long to get through.” Stop sending generic responses,negative
@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy,negative
"@JetBlue I would prefer a similar picture but full of E190 tails, but great shot!",positive
@united no thank you,neutral
@united you have failed so uncontrollably today that it's beyond repair. I'm beyond livid with your absolute disregard to operations.,negative
"@SouthwestAir - neveryamind I paid $450 for a flight. 250 for a new bag is easy for business class customers, right? http://t.co/vn3JJIa53O",negative
@united I miss the Continental days.,negative
@united the costumer services here at Denver Intl Airport is ridiculous bad!,negative
"@AmericanAir all right, but can you give me an email to write to ?",negative
@USAirways i worked with you and bought my own rental car when you failed to get me to the location i paid to get to and now....,negative
"@AmericanAir Would have had to fly real far south, huh? #WinterWeather #Brrr",neutral
"@AmericanAir Hello, question, How many balloons do you think it will take to life up one of your planes?",negative
@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,neutral
"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags.",negative
@united even though technically after I land I will be silver?,neutral
@USAirways no you not sorry. I am trying 2 add a day 2 my vacation but there is a $200 charge just 2 change flights,negative
@united what's going on with the mileage plus accounts? Login through username and email have been down for at least three days.,negative
@united just tried to log in and was told e-mail log in not currently available,negative
@USAirways we bought our tickets months ago. Had seats together for all 6. Haven't changed flight. Now 4 kids seats are scattered on plane.,negative
@SouthwestAir thanks connection thru Nashville have A1 boarding pass get to Dallas gate boarding 40 min before flt get end of B group,positive
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,negative
@AmericanAir I know. Just a little cold weather humor. :),neutral
@jetblue rqstd upgrade to mint at LAX and was told no because i used points! Why turn down $1600 bcz I used points? #trueblue,negative
@united rushed through the -6 degree weather to get to the airport on time. Too bad the pilots didn't do the same. #stillwaiting.,negative
@USAirways charging $200 2 change a flight is a rip off the reason I have 2 is out of my hands &amp; I want 2 reschedule same flight but in July,negative
@USAirways flight 837 passengers stuck on plane in Philly. Where is the gangway?  We can't hear the pilot,negative
"@USAirways if you mean by posted, no USAir empl to direct anyone, 800# not accepting calls, no contact from USAir re: rebook #greatjob",negative
@AmericanAir you need to work harder on the disconnect between your intention and the reality your passengers face,negative
"@USAirways 6 hours, no agent. Should I keep waiting?",negative
@united reservation was made last July. I want to know why I wasn't reseated. This only happens on international itineraries,negative
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,neutral
@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!,positive
"@SouthwestAir sure,I'll send a message now!",neutral
@united I sent my details to the customer care link you sent me almost a month ago and no response.,negative
@AmericanAir been calling for over 24hrs now and getting no where but told to call back by the automated system is extremely frustrating,negative
"@AmericanAir Agents in DFW were very kind did their best to help, but this doesn't make up for PHX error and attitude! #Americant",negative
"@JetBlue Rats, that's a bummer!",negative
@AmericanAir When will the old 777-200 fly ORD-PVG get upgraded?,neutral
@AmericanAir #americanview New paint scheme looks great! #usairways http://t.co/Gt6umHbh43,positive
@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...,negative
@SouthwestAir LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove,positive
@SouthwestAir you guys just rip me off if I could Cancelled Flight every flight I had booked for my employees I  would Buyer beware,negative
@USAirways how does an airline misplace an airline attendant?!! been at Reagan airport since 1pm10:15 to Cincy is delayed trying to find her,negative
@united Stuck in. ORD because United can't find their airplane. Lol. #upset terminal right now.,negative
@USAirways Flight 1815 (N747UW) arrives at @FlyTPA following flight from @PHLAirport http://t.co/TtLwZgIyAg,neutral
"@USAirways #Overbooked SXM-CLT delayed deplaning extra passengers. #missedconnection #forcedovernight #CLT, no lodging/food. Disappointed.",negative
@SouthwestAir not letting me DM. # is FSZ4YO,negative
@SouthwestAir i have asked Lindsey to call me instead of DM like a schoolgirl but so far no call   Getting tired of typing little notes,negative
@USAirways I'm trying to Cancelled Flight my flight within the 24hr window but have been on hold for over an hour. Is there an alternate # I can dial?,negative
.@AmericanAir how about connecting me with a customer service rep? I'd rather speak to a person than a computer. Thanks!,negative
@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon,positive
@USAirways will I get the full amount credited to my account for US Airways credit?,neutral
@united with the purchase of my ticket i am entitled to check in 1 bag however i am being charged an extra 25 dollars for domestic transport,negative
"@AmericanAir once again flying AA4285, once again 60+ min delay because of mechanical issues. Perhaps you should consider maintenance?",negative
@AmericanAir I called reservation at 1 am and I'm still waiting for someone to call me back,negative
@SouthwestAir  goes to court to gain access to @Delta gates at Love Field  http://t.co/ILqzmMJiYQ #deltanews,neutral
"@JetBlue Well, I try! See you soon!! @JayVig",neutral
@JetBlue got it. Thanks,positive
@SouthwestAir but when do I get my gin &amp; tonic !?!?,negative
@USAirways once again your company actualy put people in weird situations.Your hostel voucher was fake.Snow is ok but no lies please,negative
@JetBlue thanks so much!! ❤️✨ very relaxing flight!,positive
"@JetBlue, your hold music sucks.",negative
@AmericanAir I love your company and your staff is amazing. They just made an uncomfortable situation comfortable,positive
@AmericanAir I'm frustrated by all of the @USAirways attitude toward #ExecPlat members. #thenewamerican,negative
@united IT-problems with the link? #3thparty,negative
@JetBlue thank you!,positive
"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive
@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,neutral
@united I've filed the claim but have no way of calling for updates. Is there another way to do this?,neutral
"@JetBlue there was a closure? People here need to inform passengers, not send them gate to gate w no info on boards re: updated departures",negative
@united next day,neutral
"@SouthwestAir there... from my first interaction with your people this morning, after bad weather, sorry but I wont be flying with you again",negative
@USAirways thank you very much.,positive
@SouthwestAir bad weather and multiple Cancelled Flighted flights has us all scared!  Noted for next time.,negative
"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",positive
@SouthwestAir Great trip on 2672 yesterday - outstanding flight attendants,positive
"@AmericanAir Understood. Integration takes time, but no excuse for poor customer service",negative
@JetBlue it was booked through work but added upgrade on seat. Need the upgrade receipt.,positive
@JetBlue @vegecomgirl For me it’s not until 6/15.,neutral
@united any help is appreciated. That's a LOOONG wait for help on something that's not his fault,negative
@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-),neutral
"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir",positive
"@AmericanAir Uwon't allow me2make changes online, force me2sit thru excess phone wait times&amp;still insist charging crazy fees. Thats service?",negative
@SouthwestAir very disappointed in your handling of tonight's Cancelled Flighted Dallas flight.  Not that it was Cancelled Flighted but no contingencies.,negative
"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines.",negative
@USAirways US 728/Feb 21. Ground power shorts again for the third time. Weary German passenger deplanes. Makes me jealous. Auf wiedersehen!,negative
"@JetBlue I called jet blue to get an explanation, and make sure it would not happen in the future. I was told to write the fraud dept.",negative
@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.,neutral
"@AmericanAir I've been on hold for 55 mins about my Cancelled Flighted international flight. Am out of country, so can't leave a call back #. Help?",negative
@AmericanAir already shared with them. Nothing done!,negative
@SouthwestAir what are the chances you will be Cancelled Flighting all flights in and out of Nashville again?,negative
@SouthwestAir is the contest over for Destination Dragons? I want to try to do everything I can to go.,neutral
".@united just curious why you'd board a flight without a pilot. Seems crucial to the flight process, no?",negative
@united   It's too bad UA has had another unforeseeable operational issue on my return flight.,negative
"@SouthwestAir can u follow so I can DM a confirmation number I need confirmed to Cancelled Flight?
I will call to confirm Monday for refund",neutral
@SouthwestAir I have been loyal to Southwest from the beginning but very unhappy about your devaluation.,negative
@USAirways they say connections are good still...but another reFlight Booking Problems is the last thing I need today,negative
@united all day travel. #swag #ijustwanttosleep,neutral
@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥,negative
@USAirways @satesq theres only one flt PHL-CRW per day.,neutral
@SouthwestAir thanks. What's your opinion on chances of getting in okay tomorrow?,neutral
@JetBlue lmfao.,neutral
"@JetBlue can't link my flight from last week to my TruBlue account and 1800 num isn't answering..don't make me fly @Delta again, dont do it!",negative
@JetBlue @philpete wonder if that's the pilot tweeting you back? Is it legal to tweet and fly? What if the plane in front stops suddenly?,negative
"@united read the thread. I booked 1st class , now seated at 38E even though United Twtr account confirmed Eco Premium.",negative
"@united SF crew lack a lot of customer service, LAX employees are a lot better. Wonder why...",negative
"@AmericanAir oh I did. All I received back was an email saying "" delays happen"".. Uh huh..",negative
@AmericanAir and @iTunesMusic have put me in bad mood. I haven't been this angry since Spagnuolo coached the #Rams,negative
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",neutral
@USAirways I did they are busy,negative
@AmericanAir spoke too soon. 30 min Late Flightr still waiting for bags to load. Some sympathy would be appreciated at the very least.,negative
@united They finally gave in a let him on. After they threatened to send him back to Vegas on coach. Thnx.,positive
@SouthwestAir okay just signed up!,neutral
@JetBlue is that one on the picture http://t.co/lxwbsfxfj0,neutral
@JetBlue we have. Twice. They said they can't dim those lights. But they did on our first flight.,negative
@SouthwestAir Please bring back RDU to FLL direct route!  I noticed it is missing starting in Late Flight August!  The flights are always packed!,neutral
"@USAirways help! Flight Cancelled Flighted, can't call because my phone doesn't work in Europe. Please help? Says I'm booked want to confirm.",negative
@JetBlue you don't remember our date Monday night back to NYC? #heartbroken,positive
@united Woke up to notification- flight moved 1.5 hrs early. Barely made flight then 3 hrs layover in SFO - wanted to hop on earlier option,negative
@SouthwestAir All I requested was a refund of my Reward Points that I used to purchase the flight and he refused.,negative
@AmericanAir Or u cud answer my ? here! 140 is plenty. Inflight stealing going on right now &amp; FA won't have the uncomfortable convo w pass.,negative
@USAirways US 728/Feb 21 Kim Y says: leaving on 15 minutes once paperwork is done. Wheels up ~ 1.5 hours Late Flightr.,negative
@USAirways the jetway because he felt I was disrespectful. I have never been treated this way particularly when I was trying to be a good c,negative
@AmericanAir why is it from June 1 thru December 31 there are no bus/first milesaaver awards available from cun to nyc? #Explain #whyfly,neutral
@AmericanAir well have all day and all the time in the world,positive
"@JetBlue you don't need to cut services, charge more and give a better flying experience. That's why I use jet blue in the first place",positive
@AmericanAir  2 hours to be answered on a call?,neutral
@USAirways #Unbelievable that for 2 consecutive days I can't get through to a person.  On hold over 2 hours and still going,negative
@JetBlue I want to give a warm thanks to your crew at Logan airport for still getting me to the DC area after Cancelled Flightlations this morning!,positive
@SouthwestAir That's an awesome library.,positive
@JetBlue do you have mint service from NYC to San Diego?,neutral
@JetBlue works with Google #chrome but not Internet Explorer.,neutral
@AmericanAir your customer service is a disgrace.,negative
@AmericanAir can you help me update a birthday that was incorrectly input in a reservation? This is preventing me from checking in,neutral
@united ours in July. You have ZERO excuses for this. You have an out-of-date system that causes problems like this.,negative
"@AmericanAir you Cancelled Flightled my flight due to ""weather"" when others are flying out just fine.  No compensation, no resolution.  Incompetent.",negative
@jetblue you just directed me to your mobile website. Where is the direct link? GET IT TOGETHER!,negative
@southwestair TREMENDOUS job. Atlanta Airport saw SW celebrate Mardi Gras. Another reason I'm nuts for you guys! http://t.co/8WBzOrRn3C,neutral
"@AmericanAir To think that I'm a ""Priority Member""! Wonder how you treat the plebes. I know which rewards card I'm Cancelled Flightling immediately.",negative
"@united the hotel you sent us to wouldnt take the voucher. Our flight was delayed, then Cancelled Flightled, then delayed again. 32 hours and counting",negative
@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,negative
@united I was rebooked but had to take bus from Portland Maine to Boston. Told United does not cover the charge.,negative
@JetBlue That's great! Thank you.,positive
@AmericanAir is the 24/7 phone line open? On hold for over 2 hours now. Your check-in agents cannot help at the airport itself. Please help.,negative
@USAirways - been on hold with reservations for over 30 min already! #worstairline,negative
@USAirways we will...sunday! Just a few days away,positive
@united how do you go fr Silver Elite for two straight years to group 5 all the time?  I get no group 2 but maybe 3 or 4?  What's up?,neutral
@USAirways / @AmericanAir are incompetent.,negative
@JetBlue great flight http://t.co/E0R0NTO4TR,positive
"@united has not responded to my various requests for contact numbers, does anyone know the UK customer service number for #UnitedAirlines",negative
@jetblue is the website down? Can't print boarding pass,negative
@united they helped me at the baggage service desk.  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR @ 12,negative
"@AmericanAir @NY_NJairports AA1224: 45 mins for Priority bags to arrive, now Late Flight for evening plans! Delta 20 min bag guarantee anyone? :(",negative
"@AmericanAir flight from PHL to Austin Cancelled Flighted, headed to Houston, delayed, now have to pay to rent a car and drive 3 hrs to Austin",negative
@united they had record of it being at Denver on the concourse prior to me gettin on the shuttle. I just want to confirm its location,negative
@united Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.,negative
@JetBlue no. Please stop.,negative
@AmericanAir but have been yet to receive assistance from one of your agents in securing a new connection. Many will now miss work tomorrow.,negative
@JetBlue customer service says since my wife setup a family account that she now can't join mine for a year???  Help me fix please.,negative
Haha! @JetBlue: Our fleet's on fleek. http://t.co/KmaNLdQbh4”,negative
@USAirways Shout out to the red-headed gate agent for flt 3389 from DCA to CHS at 7:10 tonight. Didn't get her name but she was great!,positive
"@AmericanAir @karabuxthomps Yeah, I have a lot of questions, number one: how dare you",negative
@USAirways you guys lost my luggage,negative
@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,negative
@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi,negative
@united Okay thanks if you could please update me. I was told at the airport someone would call me today but they haven't.,negative
..... Can you not? “@JetBlue: Our fleet's on fleek. http://t.co/udPq0flIQo”,neutral
@united nice. I wonder how you pick who to respond to? Maybe only happy customers are easier. I wonder how many of those you have left.,negative
@AmericanAir is flight 1318 Cancelled Flighted or not? No word from the ground staff.,negative
@SouthwestAir we are 2 mins from departure of 4125 and no announced update nor an update to on time status. Everyone just standing. #comeon,negative
@USAirways the phone number the gate gave me doesn't work either. What is your customer service phone number?,negative
@SouthwestAir Flight 3267 (N659SW) arrives at @FlyTPA following flight from @MitchellAirport http://t.co/LJ2YdKoR8q,neutral
@united and waiting,negative
Why we can't have nice things. RT @JetBlue: Our fleet's on fleek. http://t.co/HP9RPPCvHx,neutral
.@united call my work and tell them it's your fault I'm Late Flight,negative
@USAirways DOMINICK L. at La Guardia airport NYC gives the absolute best customer service! Thanku! Checking in made easy!,positive
"@SouthwestAir  also, gave up after 1 hr 32 minutes on hold. Maybe put a few more people on it?",negative
@AmericanAir cost me 1 day of #vacation ($350) and all I got was a rude woman tell me to go to another country and figure out how to get...,negative
@USAirways let's say it's directly correLate Flightd to the chance of a replacement case. I know which would cost the airline less!,negative
Why? 😒 RT @JetBlue Our fleet's on fleek. http://t.co/I7Ut2ZvHCO,negative
@SouthwestAir how come on mobile I can't proceed w/o entering a postcode at purchase. I'm from Ireland and I don't have a postcode just.,neutral
@AmericanAir you could train your flight attendants to have some manners and decency,negative
@JetBlue of my tray table is broken what do i do?,neutral
@AmericanAir flight 1081 from IAD to LAX sat for more than 3hrs because ground crew couldn't drive in snow #badmgmt #AmericanAirlines,negative
@JetBlue my email is my twitter handle followed by gmail ☺👍👍,positive
@JetBlue hi! Is it possible to upgrade to a Mint seat on an already booked ticket? Thanks!,neutral
@united here we go again. 2 of 3 segments SFO--New York RT were delayed OVER 2 hrs each! Why do you suck so BAD!?!Maybe another line of bus?,negative
"@united uhuh.Group trying to get out of Nashville and into IAD today instead of tomorrow,why be preemptive though... https://t.co/yBv0xaowKv",neutral
@JetBlue cool! Are there stairs at JFK? I can walk short distances but not stairs.,positive
"@united I send you an urgent message via eservice@united.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL",neutral
@united stay more than 24h traveling ans sleeping on the airports floor,negative
"@AmericanAir thanks for forcing me to check -in my carry - on luggage. That is exactly why I spent extra money on ""travel size"" toiletries",positive
@united those whose pay to actually fly with you over 30k/ year deserve better service than a CC holder.,negative
@AmericanAir done. I hope you can offer something.,neutral
"@united I'm fully aware, it's just that your rules are harsh toward the client. Especially since you're going to resell my seat for more $.",negative
"@JetBlue my credit card company accidentally marked my jet blue tickets as fraud, then corrected their mistake and reposted the money.",neutral
"@united yep that's correct, I got an email at 12:30 am that the flight was Cancelled Flightled, doesn't matter now flight into atl is delayed, thx",negative
@AmericanAir I can't keep dialing you guys all day. Can I get into the callback queue?,negative
@JetBlue everyone is overreacting. Keep up your swag!,neutral
"@JetBlue Flight 1562 had a 4 1/2 hour weather delay, but what is the 45 minute delay in getting bags to tired passengers?",negative
@united no apology? Cool.,negative
@USAirways you can't control the weather but you can control customer service. Without luggage for 24 hours &amp; still yet to speak to a human.,negative
@SouthwestAir now I can't board thanks. You guys moved me to standby. I've been holding this boarding pass since 7pm yesterday,negative
@JetBlue not to mention the fact that we paid extra just to fly jetblue thinking it was the most reliable..,negative
@SouthwestAir sent,neutral
@united left my iPad on MCO-&gt;IAD flight 174. How long to hear back once claim submitted? TY!,neutral
@AmericanAir if it I have not rebooked didn't get notified that it was Cancelled Flightled,negative
@USAirways I called twice the recording says that it has being delivered to my apt but it is not here ?,negative
"@united not the case. Now delayed due to ""mechanical issues with no update on departure time"". Just Cancelled Flight the goddamn flight so I go delta",negative
@united hello. I'm overseas &amp; my bag is lost. I can't call customer service but can you help me?,negative
@USAirways that's who I spoke to already. We've already booked another flight w/someone else. Thanks for your concern. Just wanted to,neutral
@united Thank you so much for your help with my birthday trip! Tickets are confirmed! :-),positive
"@AmericanAir AA1675 flight out of Jamaica was Cancelled Flightled yesterday due to ""weather"", while other flights were still landing at DFW",negative
@united airlines delayed our flight on the way to Chicago and leaving Chicago. Next time @Delta it is.,negative
"@united customer service: 16hr delay coupon can only be redeemed on website which has $200 higher prices than Expedia, call wait time 55mins",negative
"@USAirways My flight was delayed and rerouted, and not so much as a ""sorry for your inconvenience"" from the check-in agent? #notimpressed",negative
@JetBlue - Hopefully that will help someone in the future. Would there have been a different procedure if I had discovered the theft sooner?,negative
"@United just played the Most bizarre ""safety"" video I've ever seen... http://t.co/Hlm2Oks6xl",neutral
@JetBlue But jet blue had Cancelled Flighted my ticket &amp; never reissued it.,negative
@AmericanAir If the flight I selected online was what was ticketed I would not be missing my connection. I need help getting to DFW or IAH!!,negative
@AmericanAir You moved us onto 6.55pm but there is availability on 1.50 and 3.30.   No answer on your phone. Have young children.  HELP!,negative
@united it will be on a different airline.,negative
@united worst customer service experience ever. 40 minutes to get the jetway to the plane at EWR tonight. Flight 354   Disappointed,negative
@united thanks we'll be in touch!,positive
@AmericanAir a phone call or email when you Cancelled Flight a flight would be lovely.,negative
"@united well, thanks for not charging me for switching my two Cancelled Flightled flights anyway. That was pretty nice. #stillmakingmepoorthough",positive
@JetBlue your agent told us TSA didn't have a crew to get bags!,negative
@SouthwestAir guess where Ashley is. She's doing a great job presenting. #ragandisney http://t.co/5ZNMwxDI9U,positive
"@AmericanAir looks like I have. Best I can hope for I guess. It's on us air, so I don't think I'll get miles on Alaska. Which sucks.",negative
@united Cool. Thank you.,positive
@USAirways Ok Thanks,neutral
@SouthwestAir your employees were great!,positive
@JetBlue - trying to fly from BOS to JFK. Flight delayed. Traveling with kids. Book a hotel or are we getting out tonight?,negative
@AmericanAir hey guys. DMed you a question about when 500-mile upgrades post after earning. Hope to use tomorrow,neutral
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,negative
